owner_name,associate_id,facility_count,active_facility_count,flags,classification,reason
Cranbury SNF Operations Management LLC,0547766834,1,1,network,index,single_facility_with_context:network
"Rm Holdings Smithtown, LLC",0547768442,1,1,network,index,single_facility_with_context:network
Unknown party,0547768988,1,1,network,index,single_facility_with_context:network
"Aurora Guardian II Realty, LLC",0547769333,16,16,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Unknown party,0547769507,1,1,network,index,single_facility_with_context:network
Unknown party,0547770844,1,1,network,index,single_facility_with_context:network
Unknown party,0547773293,1,1,network,index,single_facility_with_context:network
Unknown party,0547773442,1,1,network,index,single_facility_with_context:network
Unknown party,0547774762,1,1,network,index,single_facility_with_context:network
Unknown party,0547775264,1,1,network,index,single_facility_with_context:network
Shaindy Tauber,0547775769,1,1,network,index,single_facility_with_context:network
Havencare Management LLC,0547775835,2,2,"abuse,portfolio,network",index,two_or_more_active_facilities
Unknown party,0547778953,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Silvana Buccianti,0547779373,2,2,"portfolio,network",index,two_or_more_active_facilities
Ashley Winkle,0547781726,6,6,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Sarah Richard,0547781924,1,1,network,index,single_facility_with_context:network
William Whiston,0547782708,6,6,"abuse,portfolio,network",index,two_or_more_active_facilities
Jm and Mazel LLC,0547783375,9,7,"abuse,sff,multi_state,portfolio,network",index,two_or_more_active_facilities
Unknown party,0547784712,1,1,network,index,single_facility_with_context:network
Laura Wilson,0547785081,3,3,"abuse,portfolio,network",index,two_or_more_active_facilities
Avraham Ochs,0547786196,1,1,network,index,single_facility_with_context:network
Maefair Acquistion Realty LLC,0547795130,1,1,network,index,single_facility_with_context:network
Robert Platzman,0648164160,1,1,network,index,single_facility_with_context:network
County of Orange,0648169185,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
David John Freshwater,0648180349,1,1,network,index,single_facility_with_context:network
"St. Luke Residential Health Care Facility, Inc.",0648181354,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
White Plains Nursing Home Inc,0648182626,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Mcauley Residence,0648183327,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Kindred Hospitals East LLC,0648187674,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
"Bokf, Na",0648188896,12,12,"abuse,sff,multi_state,portfolio,network",index,two_or_more_active_facilities
Hersch Krausz,0648189746,5,5,"abuse,portfolio,network",index,two_or_more_active_facilities
Athanasios G Papastamelos,0648206680,1,1,network,index,single_facility_with_context:network
Omnicare LLC,0648219162,35,35,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Kendal on Hudson,0648229104,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Esther Zeidman,0648229682,1,1,network,index,single_facility_with_context:network
Alber H Moussa,0648230763,1,1,network,index,single_facility_with_context:network
Cg Healthcare LLC,0648238766,1,1,"sffc,network,affiliated,operator_grouping",index,"single_facility_with_context:sffc,network,affiliated"
Pine Valley Center LLC,0648238899,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
James Charles Damico,0648270439,1,1,network,index,single_facility_with_context:network
Uri Koenig,0648273631,17,17,"abuse,sffc,portfolio,network",index,two_or_more_active_facilities
Noah S Finkel,0648277723,2,2,"portfolio,network",index,two_or_more_active_facilities
Northwell Health Stern Family Center for Rehabilitation,0648281220,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Theresa R Sanderson,0648288720,1,1,network,index,single_facility_with_context:network
Shirley A Tuttle-malone,0648305797,1,1,network,index,single_facility_with_context:network
Harry L Larkin,0648307231,1,1,network,index,single_facility_with_context:network
David P Macholz,0648317164,4,4,"portfolio,network",index,two_or_more_active_facilities
Sholom Eisen,0648332841,1,1,network,index,single_facility_with_context:network
Patricia Foster,0648334268,1,1,,noindex_follow,single_facility_no_context
"Avon Convalescent Home, Inc.",0648334300,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
"National Senior Communities, Inc",0648337220,16,16,"abuse,multi_state,portfolio,network",index,two_or_more_active_facilities
Regency Heritage Nursing & Rehabilitation Center LLC,0648345579,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Wartburg Receiver LLC,0648346098,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
"Promesa Residential Health Care Facility, Inc.",0648347500,1,1,"sffc,affiliated,operator_grouping",index,"single_facility_with_context:sffc,affiliated,operator_grouping"
Marc E Espinosa,0648347930,4,4,"multi_state,portfolio,network",index,two_or_more_active_facilities
Little Servant Sisters of the Immaculate Conception,0648350587,1,1,network,index,single_facility_with_context:network
"Park Ridge Nursing Home, Inc",0648354514,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Hamlin Terrace Foundation,0648357301,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Russell Clark,0648375444,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Sandra Pencook,0648375717,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
"Absolut at Gasport, LLC",0648377408,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
William C Koester,0648404046,1,1,network,index,single_facility_with_context:network
Cynthia Hack,0648408104,1,1,network,index,single_facility_with_context:network
Glens Falls National Bank and Trust Company,0648414045,1,1,network,index,single_facility_with_context:network
Rene N Barnes,0648415612,1,1,network,index,single_facility_with_context:network
Anthony Restaino,0648421503,1,1,network,index,single_facility_with_context:network
Abraham Sieger,0648422923,1,1,network,index,single_facility_with_context:network
Alan B Katz,0648428920,1,1,network,index,single_facility_with_context:network
Jamie A Goodman,0648445965,2,2,"sffc,portfolio,network",index,two_or_more_active_facilities
Groton Community Health Care Center Inc,0648447276,1,1,"sffc,affiliated,operator_grouping",index,"single_facility_with_context:sffc,affiliated,operator_grouping"
"St Catherine of Siena, Inc",0648447854,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Hamilton Grove Healthcare & Rehabilitation LLC,0648455832,1,1,"sffc,affiliated,operator_grouping",index,"single_facility_with_context:sffc,affiliated,operator_grouping"
Kathryn B Frey,0648492892,1,1,network,index,single_facility_with_context:network
Solomon Klein,0648494286,29,29,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Dawn M Mccall,0648496547,2,2,"abuse,sff,portfolio,network",index,two_or_more_active_facilities
Heritage Acquisition Holdings LLC,0648511394,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Rachel Blumberg,0648512236,1,1,network,index,single_facility_with_context:network
Jeremiah Sweet,0648519645,1,1,network,index,single_facility_with_context:network
Meryl B Strauss,0648520650,5,5,"sffc,portfolio,network",index,two_or_more_active_facilities
Susan Ahern,0648530931,4,4,"multi_state,portfolio,network",index,two_or_more_active_facilities
Clark Hill,0648536128,1,1,network,index,single_facility_with_context:network
John Ramsey,0648537282,1,1,network,index,single_facility_with_context:network
"Ir Operations Associates, LLC",0648546887,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Eliyahu Goldman,0648548859,1,1,network,index,single_facility_with_context:network
Peter Stygar,0648554972,1,1,network,index,single_facility_with_context:network
Ghulam Khan,0648557686,1,1,network,index,single_facility_with_context:network
Denise Bayerlein,0648571349,1,1,network,index,single_facility_with_context:network
Christopher P Dalton,0648577205,1,1,network,index,single_facility_with_context:network
Naveen Allam,0648580241,1,1,network,index,single_facility_with_context:network
Michael B Mirotznik,0648582999,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Dov Green,0648588533,20,20,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Amanda Welch,0648595124,1,1,network,index,single_facility_with_context:network
Joanna Hollis,0648600809,1,1,network,index,single_facility_with_context:network
David Goldman,0648603688,1,1,network,index,single_facility_with_context:network
"Voa Lee County Health Care Facility, Inc.",0648608067,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Aspire Investors Holdings LLC,0648625558,4,4,"sffc,portfolio,network",index,two_or_more_active_facilities
Amy Mcpartlon,0648646547,1,1,network,index,single_facility_with_context:network
Br Family Holdings LLC,0648649871,3,3,"portfolio,network",index,two_or_more_active_facilities
Bayside Manor Operating Holdings LLC,0648650382,1,1,network,index,single_facility_with_context:network
Keith Demons,0648675504,2,2,"portfolio,network",index,two_or_more_active_facilities
Blue Spring Healthcare Partners LLC,0648680173,5,5,"portfolio,network",index,two_or_more_active_facilities
Thomas Fitzpatrick,0648694505,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Lpklr LLC,0648705566,2,2,"portfolio,network",index,two_or_more_active_facilities
Unknown party,0648709576,1,1,network,index,single_facility_with_context:network
David C Mollen,0648712273,1,1,network,index,single_facility_with_context:network
Eden Najman,0648714055,3,3,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
"Agewell Living, LLC",0648740951,1,1,network,index,single_facility_with_context:network
Erin Dalton Curran,0648741355,1,1,network,index,single_facility_with_context:network
Sga H. Care Staffing LLC,0648746909,1,1,network,index,single_facility_with_context:network
Charles Edelstein,0648747204,1,1,network,index,single_facility_with_context:network
Fl 2 Propco Holdings LLC,0648748723,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Pawel Roman Plecha,0648748798,1,1,network,index,single_facility_with_context:network
Unknown party,0648750042,1,1,network,index,single_facility_with_context:network
Ruchie Rubin,0648750430,2,2,"portfolio,network",index,two_or_more_active_facilities
Ky SNF Holdings LLC,0648750695,2,0,"portfolio,network",suppress,no_active_facilities
Unknown party,0648750927,1,1,network,index,single_facility_with_context:network
Abigail Hasani,0648750943,1,1,network,index,single_facility_with_context:network
Unknown party,0648751834,1,0,network,suppress,no_active_facilities
Alabama Seven SNF Opco Holdings LLC,0648752329,2,1,"sffc,multi_state,portfolio,network",index,"single_facility_with_context:sffc,multi_state,portfolio"
Unknown party,0648753178,1,1,network,index,single_facility_with_context:network
Unknown party,0648755140,1,1,network,index,single_facility_with_context:network
Unknown party,0648755157,1,1,network,index,single_facility_with_context:network
Unknown party,0648755223,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Peter Worrall,0648755678,1,1,network,index,single_facility_with_context:network
Unknown party,0648756551,1,1,network,index,single_facility_with_context:network
Unknown party,0648756569,1,1,network,index,single_facility_with_context:network
Hana Salem,0648756866,1,1,network,index,single_facility_with_context:network
Unknown party,0648756981,1,1,network,index,single_facility_with_context:network
Unknown party,0648757120,1,1,abuse,index,single_facility_with_context:abuse
Epic Healthcare Management LLC,0648760389,2,2,"portfolio,network",index,two_or_more_active_facilities
Tha Tampa Propco LLC,0648761007,1,1,network,index,single_facility_with_context:network
Chaim Savin,0648762906,1,1,network,index,single_facility_with_context:network
Unknown party,0648762997,1,1,network,index,single_facility_with_context:network
Luisa Mondragon,0648764514,2,2,"portfolio,network",index,two_or_more_active_facilities
Brenda Lowy,0648764746,1,1,"sff,network",index,"single_facility_with_context:sff,network"
Unknown party,0648764993,1,1,network,index,single_facility_with_context:network
Albert Riddle M.D. LLC,0648770388,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Unknown party,0648771139,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Stacy Thomas,0648771451,1,1,network,index,single_facility_with_context:network
Tikeesha Springer,0648771857,1,1,network,index,single_facility_with_context:network
Unknown party,0648772947,1,1,network,index,single_facility_with_context:network
Unknown party,0648773267,1,1,network,index,single_facility_with_context:network
"Aurora Guardian Holdco IV Mezz Borrower, LLC",0648774232,4,4,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Rachel Koch,0648774711,1,1,network,index,single_facility_with_context:network
St Marks Avenue Property LLC,0648776922,1,1,network,index,single_facility_with_context:network
Unknown party,0648777060,1,1,network,index,single_facility_with_context:network
Delana Dawn Canidate,0648778860,1,1,network,index,single_facility_with_context:network
Unknown party,0648779314,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Unknown party,0648779769,1,1,network,index,single_facility_with_context:network
Unknown party,0648782854,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Unknown party,0648783639,1,1,network,index,single_facility_with_context:network
Valerie Opco LLC,0648785931,1,1,"abuse,recent_chow,network,affiliated,operator_grouping",index,"single_facility_with_context:abuse,recent_chow,network"
Maryellen Kosturko,0648785972,2,2,"portfolio,network",index,two_or_more_active_facilities
Unknown party,0648787531,1,1,network,index,single_facility_with_context:network
Himanshu Jani,0648790063,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Harborview Sarasota Holdings LLC,0648791285,1,1,network,index,single_facility_with_context:network
Dovid Bain,0648793299,1,1,network,index,single_facility_with_context:network
American Care Nursing Services,0648793471,1,1,network,index,single_facility_with_context:network
Mary Catherine Kerkovich,0648795112,1,1,network,index,single_facility_with_context:network
"NHI-REIT of Florida, LLC",0648795237,6,6,"portfolio,network",index,two_or_more_active_facilities
Unknown party,0648795609,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Stonebridge Healthcare Member III LLC,0648796292,5,5,"abuse,multi_state,portfolio,network",index,two_or_more_active_facilities
Michael Mcdonough,0648798173,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Unknown party,0648798223,1,1,network,index,single_facility_with_context:network
Unknown party,0648798595,1,1,network,index,single_facility_with_context:network
Unknown party,0648798769,1,1,network,index,single_facility_with_context:network
Robert M Mccann,0749176832,1,1,network,index,single_facility_with_context:network
Rensselaer County Bureau of Finance,0749176923,1,1,"abuse,network,affiliated,operator_grouping",index,"single_facility_with_context:abuse,network,affiliated"
Michael Edbauer,0749182277,1,1,network,index,single_facility_with_context:network
Kathryn E Perez,0749191013,2,2,"portfolio,network",index,two_or_more_active_facilities
Carlos A Perez,0749191757,1,1,network,index,single_facility_with_context:network
Hebrew Old Age Center of Atlantic City,0749198034,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Steve Hett,0749199347,1,1,network,index,single_facility_with_context:network
Edward Friedman,0749207108,8,8,"portfolio,network",index,two_or_more_active_facilities
"Prime Healthcare Services, Inc",0749209252,4,4,"multi_state,portfolio,network",index,two_or_more_active_facilities
New York Rehabilitation Care Management LLC,0749248565,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Patrick Hayes,0749266195,1,1,network,index,single_facility_with_context:network
Mark Murphy,0749275147,1,1,network,index,single_facility_with_context:network
James E Morrison,0749287969,1,1,network,index,single_facility_with_context:network
Maria Mayor,0749306553,1,1,network,index,single_facility_with_context:network
Margaret A Haley,0749320489,8,8,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Ruby Anastos,0749323376,1,1,network,index,single_facility_with_context:network
Joseph Ballay,0749323970,1,1,network,index,single_facility_with_context:network
Sutton Park Center for Nursing & Rehabilitation LLC,0749333979,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Brian Cregin,0749340412,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
David A Tanner,0749342418,1,1,network,index,single_facility_with_context:network
Alison J Guile,0749343549,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Victor Richel,0749353548,1,1,network,index,single_facility_with_context:network
Lawrence Nursing Care Center Inc.,0749356186,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
"Highland Nursing Home, Inc.",0749356475,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Robert Brown,0749373959,1,1,network,index,single_facility_with_context:network
"Ccrc - South Port Square, LLC",0749402428,1,1,"abuse,affiliated,operator_grouping",index,"single_facility_with_context:abuse,affiliated,operator_grouping"
Stephen F Mclouglin,0749402923,1,1,network,index,single_facility_with_context:network
Frank Rodriguez,0749405900,2,2,"portfolio,network",index,two_or_more_active_facilities
Kimberly Townsend,0749412195,3,3,"portfolio,network",index,two_or_more_active_facilities
Pamela Jo Mooney,0749413102,1,1,network,index,single_facility_with_context:network
Marfield Investments Inc,0749419414,1,1,network,index,single_facility_with_context:network
"Ayers Health & Rehabilitation Center, LLC",0749442309,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
David Ostreicher,0749447944,3,3,"portfolio,network",index,two_or_more_active_facilities
Harry Enea,0749454866,1,1,network,index,single_facility_with_context:network
Jim Ricks,0749455145,1,1,network,index,single_facility_with_context:network
Joseph Saporito,0749457653,6,6,"abuse,portfolio,network",index,two_or_more_active_facilities
Carlos Vaneges,0749459220,1,1,network,index,single_facility_with_context:network
Stephen Dumke,0749461077,2,2,"portfolio,network",index,two_or_more_active_facilities
Ocean View Associates Parent LLC,0749500346,1,1,network,index,single_facility_with_context:network
Chet Cohen,0749504827,1,1,network,index,single_facility_with_context:network
Merriette Pollard,0749513927,7,7,"abuse,portfolio,network",index,two_or_more_active_facilities
Orestes Mederos Trujillo,0749514800,1,1,network,index,single_facility_with_context:network
Carolyn Zeh,0749521763,1,1,network,index,single_facility_with_context:network
Julia C Tedesco,0749530178,4,4,"portfolio,network",index,two_or_more_active_facilities
Jeff Weatherhead,0749534618,1,1,network,index,single_facility_with_context:network
Melody Hines,0749536829,1,1,network,index,single_facility_with_context:network
Otsego SNF Operations Assoc LLC,0749541142,1,1,"sffc,affiliated,operator_grouping",index,"single_facility_with_context:sffc,affiliated,operator_grouping"
Summit Care II Inc,0749545473,5,5,"portfolio,network",index,two_or_more_active_facilities
Leonard Jordan,0749547487,1,1,network,index,single_facility_with_context:network
Linden Garden Estates,0749553659,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
John Chowske,0749555233,1,1,network,index,single_facility_with_context:network
Jack Wheeler,0749556330,1,1,network,index,single_facility_with_context:network
Alvin Garner,0749558963,9,9,"abuse,sffc,portfolio,network",index,two_or_more_active_facilities
Joseph Feest,0749565570,1,1,,noindex_follow,single_facility_no_context
Solaris Healthcare Parkway LLC,0749581445,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Jl Warren 1 LLC,0749582583,1,1,network,index,single_facility_with_context:network
Joseph Schlanger,0749582591,2,2,"multi_state,portfolio,network",index,two_or_more_active_facilities
Laura Noble,0749586139,1,1,network,index,single_facility_with_context:network
Helen Norine,0749593317,2,2,"sffc,portfolio,network",index,two_or_more_active_facilities
Irene Gutheil,0749593937,1,1,network,index,single_facility_with_context:network
Jacob Blevins,0749602753,1,1,network,index,single_facility_with_context:network
Jamie Bowden,0749615409,1,1,network,index,single_facility_with_context:network
Jeanne Aupperlee,0749620136,1,1,network,index,single_facility_with_context:network
Molly Ryan,0749623874,1,1,network,index,single_facility_with_context:network
Hillview Holdco LLC,0749625143,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
710 N Sun Dr Opco LLC,0749625291,1,1,"recent_chow,network,affiliated,operator_grouping",index,"single_facility_with_context:recent_chow,network,affiliated"
Karen Erickson,0749638369,4,4,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Yehuda Eisen,0749647899,1,1,network,index,single_facility_with_context:network
Bartley Operator Holdco LLC,0749658763,1,1,network,index,single_facility_with_context:network
Peretz Stein,0749658953,1,1,network,index,single_facility_with_context:network
Crk Alachua LLC,0749670677,1,1,network,index,single_facility_with_context:network
Jessica Wares,0749675288,1,1,network,index,single_facility_with_context:network
Elsie Wager,0749676963,2,2,"portfolio,network",index,two_or_more_active_facilities
West Haven Center for Nursing & Rehabilitation LLC,0749678258,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Jayna M Moore,0749686244,1,1,network,index,single_facility_with_context:network
Diane Ianazzi,0749689438,1,1,network,index,single_facility_with_context:network
West Gables Holdings LLC,0749693083,1,1,network,index,single_facility_with_context:network
Candice R Abbott,0749699593,1,1,network,index,single_facility_with_context:network
Floyd Long,0749700615,1,1,network,index,single_facility_with_context:network
Ashley Allen-cordero,0749702918,1,1,network,index,single_facility_with_context:network
David Berov,0749704534,1,1,network,index,single_facility_with_context:network
Unknown party,0749705523,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Unknown party,0749706109,1,1,network,index,single_facility_with_context:network
Unknown party,0749706851,1,1,network,index,single_facility_with_context:network
"Tx SNF Holdings Member, LLC",0749708774,16,14,"abuse,sff,multi_state,portfolio,network",index,two_or_more_active_facilities
Unknown party,0749708865,1,1,network,index,single_facility_with_context:network
Hilaire Holdings LLC,0749716165,1,1,network,index,single_facility_with_context:network
Yosef Weinstock,0749716447,2,2,"sff,portfolio,network",index,two_or_more_active_facilities
George Hanley,0749716538,1,1,network,index,single_facility_with_context:network
Brand Sonnenschine LLP,0749719250,60,60,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Bernard Benjamin,0749724144,2,2,"portfolio,network",index,two_or_more_active_facilities
Yochanan Goldstein,0749725257,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Unknown party,0749753119,1,0,network,suppress,no_active_facilities
Bonnie O'reilly,0749753846,1,1,network,index,single_facility_with_context:network
Unknown party,0749755494,1,1,network,index,single_facility_with_context:network
Unknown party,0749755940,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
"HCP/LS 2011 Reit, LLC",0749756344,12,12,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Lyndsey Renee' Proctor,0749758563,1,1,network,index,single_facility_with_context:network
Sandra Leboeuf,0749760049,1,1,network,index,single_facility_with_context:network
Ozone Realty Group LLC,0749760163,1,1,network,index,single_facility_with_context:network
Unknown party,0749761930,1,1,network,index,single_facility_with_context:network
Unknown party,0749762243,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Tierra Pines Holdco LLC,0749763068,1,1,,noindex_follow,single_facility_no_context
Penelope Young,0749763985,1,1,network,index,single_facility_with_context:network
Unknown party,0749764330,1,1,network,index,single_facility_with_context:network
Unknown party,0749764769,1,1,network,index,single_facility_with_context:network
Allison Hill,0749765246,1,1,network,index,single_facility_with_context:network
Unknown party,0749765691,1,1,network,index,single_facility_with_context:network
Unknown party,0749766046,1,1,network,index,single_facility_with_context:network
Unknown party,0749766087,1,1,network,index,single_facility_with_context:network
Unknown party,0749766194,1,1,network,index,single_facility_with_context:network
Jennifer Zapata-jones,0749766962,1,1,network,index,single_facility_with_context:network
Unknown party,0749770022,1,1,network,index,single_facility_with_context:network
Unknown party,0749772143,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Summit Care Reality LLC,0749773968,1,1,network,index,single_facility_with_context:network
Unknown party,0749774081,1,1,network,index,single_facility_with_context:network
Estredida Martin,0749775559,1,1,network,index,single_facility_with_context:network
Unknown party,0749781755,1,1,network,index,single_facility_with_context:network
Brick Propco LLC,0749781805,1,1,network,index,single_facility_with_context:network
"Chatham Hills Realty, LLC",0749782043,1,1,network,index,single_facility_with_context:network
Unknown party,0749783512,1,1,network,index,single_facility_with_context:network
Moshe Steinberg,0749785525,9,9,"abuse,multi_state,portfolio,network",index,two_or_more_active_facilities
Melissa Cabot,0749786259,3,3,"abuse,sffc,portfolio,network",index,two_or_more_active_facilities
Unknown party,0749786580,1,1,network,index,single_facility_with_context:network
Unknown party,0749789238,1,1,network,index,single_facility_with_context:network
Unknown party,0749789287,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Unknown party,0749789295,1,1,network,index,single_facility_with_context:network
Unknown party,0749789386,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Unknown party,0749792067,1,1,network,index,single_facility_with_context:network
Unknown party,0749793644,1,1,network,index,single_facility_with_context:network
Unknown party,0749794816,1,1,network,index,single_facility_with_context:network
Unknown party,0749794964,1,1,network,index,single_facility_with_context:network
"FI-EVERGREEN Woods, LLC",0840100475,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
State of New York Comptrollers Office,0840101770,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Oceanview Nursing & Rehabilitation Center LLC,0840108791,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
David Panteleakos,0840186938,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Jorge Hernando,0840191706,3,3,"portfolio,network",index,two_or_more_active_facilities
Margaret Toohey,0840194619,1,1,network,index,single_facility_with_context:network
Miles Davis,0840206975,1,1,network,index,single_facility_with_context:network
Ammar Almakkee,0840235248,1,1,network,index,single_facility_with_context:network
Ghias Moussa,0840235636,1,1,network,index,single_facility_with_context:network
John A Reyes,0840256780,1,1,network,index,single_facility_with_context:network
Robert Burlingham,0840260709,1,1,network,index,single_facility_with_context:network
Wesley Gardens Corporation,0840266151,1,1,"sffc,affiliated,operator_grouping",index,"single_facility_with_context:sffc,affiliated,operator_grouping"
Michele Morandi,0840271987,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Royal Suites Care Center LLC,0840297479,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Gary Pizzichillo,0840321832,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Dina Harman,0840322822,34,34,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Michael Rossi,0840331203,1,1,network,index,single_facility_with_context:network
Deborah Visconi,0840349957,1,1,network,index,single_facility_with_context:network
Jennifer Lavarone,0840354585,1,1,network,index,single_facility_with_context:network
Kristin Hanscom,0840355111,5,5,"multi_state,portfolio,network",index,two_or_more_active_facilities
Joshua Ashby,0840371506,1,1,network,index,single_facility_with_context:network
"Naval Continuing Care Retirement Foundation, Inc",0840371597,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Robert Boehner,0840381471,1,1,network,index,single_facility_with_context:network
The Bethel Methodist Home,0840381927,1,1,"sffc,network,affiliated,operator_grouping",index,"single_facility_with_context:sffc,network,affiliated"
"Absolut Center for Nursing and Rehabilitation at Three Rivers, LLC",0840396669,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Fmhr LLC,0840410551,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Richard J Vincent,0840413308,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Yelena M Faynzilbert,0840422051,1,1,"abuse,sffc,network",index,"single_facility_with_context:abuse,sffc,network"
Genelly Nunez,0840428660,1,1,network,index,single_facility_with_context:network
Kristi Dougherty,0840435392,1,1,network,index,single_facility_with_context:network
Khcpci LLC,0840442653,1,1,network,index,single_facility_with_context:network
"Rsrnc, LLC",0840451381,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Diane Schmolze,0840455119,1,1,network,index,single_facility_with_context:network
Jean Eccleston,0840459558,1,1,network,index,single_facility_with_context:network
Humc Opco LLC,0840461075,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Israel Discount Bank of New York - Idb Bank of York,0840507661,11,11,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
James Kelly,0840511077,1,1,network,index,single_facility_with_context:network
Theresa Scarborough,0840513990,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Debra Van Ness,0840533857,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
