ORGANIZATION NAME,Legal Business Name,CCN,Provider Name,State,City/Town,Chain ID,Chain Name
MONROE NURSING HOME INC,MONROE NURSING HOME INC,115005,PARK PLACE NURSING FACILITY,GA,MONROE,769,MICHAEL FEIST
"VIA CHRISTI VILLAGE PITTSBURG, INC","VIA CHRISTI VILLAGE PITTSBURG, INC",175465,VIA CHRISTI VILLAGE PITTSBURG INC,KS,PITTSBURG,48,ASCENSION LIVING
NORTH GEORGIA CARE SERVICES INC,NORTH GEORGIA CARE SERVICES INC,115319,FIFTH AVENUE HEALTH CARE,GA,ROME,728,RELIABLE HEALTH CARE MANAGEMENT
"WESTSIDE CARE CENTER, LLC","WESTSIDE CARE CENTER, LLC",075252,WESTSIDE CARE CENTER,CT,MANCHESTER,277,ICARE HEALTH NETWORK
"ELMWOOD EVESHAM ASSOCIATES, LLC","ELMWOOD EVESHAM ASSOCIATES, LLC",315464,CAREONE AT EVESHAM,NJ,MARLTON,109,CAREONE
"BAYVIEW NURSING HOME, LLC","BAYVIEW NURSING HOME, LLC",115593,BAYVIEW NURSING HOME,GA,NAHUNTA,172,CROSSROADS MEDICAL MANAGEMENT
SEARS NURSING HOME LLC,SEARS NURSING HOME LLC,115520,SEARS MANOR NURSING HOME,GA,BRUNSWICK,172,CROSSROADS MEDICAL MANAGEMENT
"HILLCREST HOME, INC.","HILLCREST HOME, INC.",165502,Hillcrest Home,IA,Sumner,,
"SUMMERHILL, LLC","SUMMERHILL, LLC",115430,SUMMERHILL ELDERLIVING HOME & CARE,GA,PERRY,172,CROSSROADS MEDICAL MANAGEMENT
GRACEMORE LLC,"GRACEMORE, LLC",115554,GRACEMORE NURSING AND REHAB,GA,BRUNSWICK,172,CROSSROADS MEDICAL MANAGEMENT
WESTHAVEN COMMUNITY A MINISTRY OF THE EVANGELICAL FREE CHURCH,WESTHAVEN COMMUNITY A MINISTRY OF THE EVANGELICAL FREE CHURCH,165498,Westhaven Community,IA,BOONE,,
"COMMUNITY CARE CENTER, INC","COMMUNITY CARE CENTER, INC",165501,Community Care Center,IA,Stuart,,
"INTEGRATED HEALTH RESOURCES, LLC","INTEGRATED HEALTH RESOURCES, LLC",125046,PU'UWAI 'O MAKAHA,HI,WAIANAE,382,OHANA PACIFIC MANAGEMENT CO.
"CARE ONE AT MOORESTOWN, LLC","CARE ONE AT MOORESTOWN, LLC",315482,CAREONE AT MOORESTOWN,NJ,MOORESTOWN,109,CAREONE
"METROPOLIS HEALTH CARE CENTER,LLC","METROPOLIS HEALTH CARE CENTER,LLC",145813,METROPOLIS REHAB & HCC,IL,METROPOLIS,531,TUTERA SENIOR LIVING & HEALTH CARE
FAYETTE COUNTY NURSING HOME LLC,FAYETTE COUNTY NURSING HOME LLC,115460,SOUTHLAND HEALTH AND REHABILITATION,GA,PEACHTREE CITY,810,"CLINICAL SERVICES, INC."
"CUMBERLAND CARE, INC.","CUMBERLAND CARE, INC.",345348,Whispering Pines Nursing & Rehab Center,NC,Fayetteville,131,CENTURY CARE MANAGEMENT
"FEDERAL WAY MEDICAL INVESTORS, LLC","FEDERAL WAY MEDICAL INVESTORS, LLC",505512,GARDEN TERRACE HEALTHCARE CENTER OF FEDERAL WAY,WA,FEDERAL WAY,311,LIFE CARE CENTERS OF AMERICA
OAKVIEW NURSING & REHABILITATION CENTER LLC,OAKVIEW NURSING & REHABILITATION CENTER LLC,115428,OAKVIEW HEALTH AND REHABILITATION,GA,SUMMERVILLE,810,"CLINICAL SERVICES, INC."
CHAPLINWOOD NURSING HOME LLC,CHAPLINWOOD NURSING HOME LLC,115477,CHAPLINWOOD NURSING HOME,GA,MILLEDGEVILLE,810,"CLINICAL SERVICES, INC."
WINTHROP MANOR NURSING HOME LLC,WINTHROP MANOR NURSING HOME LLC,115395,WINTHROP HEALTH AND REHABILITATION,GA,ROME,810,"CLINICAL SERVICES, INC."
TREUTLEN COUNTY NURSING HOME LLC,TREUTLEN COUNTY NURSING HOME LLC,115358,TREUTLEN COUNTY HEALTH AND REHABILITATION,GA,SOPERTON,810,"CLINICAL SERVICES, INC."
"DAWSON POINTE, LLC","DAWSON POINTE, LLC",185263,Dawson Springs Health and Rehabilitation Center,KY,Dawson Springs,,
TRADITIONS HEALTH AND REHABILITATION CENTER LLC,TRADITIONS HEALTH AND REHABILITATION CENTER LLC,115473,TRADITIONS HEALTH AND REHABILITATION,GA,LITHONIA,810,"CLINICAL SERVICES, INC."
CLIFFSIDE COMPANY LLC,CLIFFSIDE COMPANY LLC,235605,Coventry House Inn,MI,St Joseph,501,SYMPHONY CARE NETWORK
GLENBROOK HC LLC,GLENBROOK HC LLC,555806,GLENBROOK,CA,CARLSBAD,160,CONTINUING LIFE
GOOD NEIGHBOR SOCIETY,GOOD NEIGHBOR SOCIETY,165503,Good Neighbor Home,IA,Manchester,,
PARK WAVERLY HEALTHCARE LLC,PARK WAVERLY HEALTHCARE LLC,035174,PARK AVENUE HEALTH AND REHABILITATION CENTER,AZ,TUCSON,507,THE ENSIGN GROUP
NORTH MOUNTAIN HEALTHCARE LLC,NORTH MOUNTAIN HEALTHCARE LLC,035132,CORONADO HEALTHCARE CENTER,AZ,PHOENIX,507,THE ENSIGN GROUP
"SUNLAND HEALTH ASSOCIATES, LLC.","SUNLAND HEALTH ASSOCIATES, LLC.",035135,MONTECITO POST ACUTE CARE AND REHABILITATION,AZ,MESA,507,THE ENSIGN GROUP
WAVERLY HEALTH CARE AND REHABILITATION CENTER LLC,WAVERLY HEALTH CARE AND REHABILITATION CENTER LLC,445251,AHC WAVERLY,TN,WAVERLY,690,PACS GROUP
LUTHERAN HOME FOR THE AGED ASSOCIATION-EAST,LUTHERAN HOME FOR THE AGED ASSOCIATION-EAST,165510,Davenport Lutheran Home,IA,Davenport,,
"ST. JOSEPH OF THE PINES, INC","ST. JOSEPH OF THE PINES, INC",345044,Saint Joseph of the Pines Health Center,NC,Pinehurst,525,TRINITY HEALTH
"QUAKER HILL NURSING, LLC","QUAKER HILL NURSING, LLC",175470,QUAKER HILL MANOR,KS,BAXTER SPRINGS,34,AMERICARE SENIOR LIVING
TOLSTOY FOUNDATION NURSING HOME COMPANY INC,TOLSTOY FOUNDATION NURSING HOME COMPANY INC,335311,TOLSTOY FOUNDATION REHABILITATION AND NRSG CENTER,NY,VALLEY COTTAGE,,
"SUNSET ESTATES OF PURCELL, INC.","SUNSET ESTATES OF PURCELL, INC.",375440,SUNSET ESTATES OF PURCELL,OK,PURCELL,,
"CONCORD HEALTHCARE, LLC","CONCORD HEALTHCARE, LLC",315275,CONCORD HEALTHCARE & REHABILITATION CENTER,NJ,LAKEWOOD,689,COLEV GESTETNER
"CEDARS NURSING CARE CENTER, INC","CEDARS NURSING CARE CENTER, INC",205003,CEDARS NURSING CARE CENTER,ME,PORTLAND,,
"ATRIUM FREEMAN, INC.","ATRIUM FREEMAN, INC.",235612,Freeman Nursing & Rehabilitation Community,MI,Kingsford,54,ATRIUM CENTERS
"MEDILODGE OF HOWELL, INC.","MEDILODGE OF HOWELL, INC.",235331,Medilodge Of Howell,MI,Howell,345,MEDILODGE
"MEDILODGE OF YALE, INC.","MEDILODGE OF YALE, INC.",235371,Medilodge of Yale,MI,Yale,345,MEDILODGE
"MEDILODGE OF MONTROSE, INC.","MEDILODGE OF MONTROSE, INC.",235600,Medilodge of Montrose Inc,MI,Montrose,345,MEDILODGE
"ANAHEIM TERRACE CARE CENTER, LLC","ANAHEIM TERRACE CARE CENTER, LLC",056076,ANAHEIM TERRACE CARE CENTER,CA,ANAHEIM,237,GENESIS HEALTHCARE
"BAY CREST CARE CENTER, LLC","BAY CREST CARE CENTER, LLC",055559,BAY CREST CARE CENTER,CA,TORRANCE,237,GENESIS HEALTHCARE
WOODLAND CARE CENTER LLC,WOODLAND CARE CENTER LLC,056066,WOODLAND CARE CENTER,CA,RESEDA,237,GENESIS HEALTHCARE
"ALTA CARE CENTER, LLC","ALTA CARE CENTER, LLC",555473,ALTA GARDENS CARE CENTER,CA,GARDEN GROVE,237,GENESIS HEALTHCARE
SHARON CARE CENTER LLC,SHARON CARE CENTER LLC,055755,SHARON CARE CENTER,CA,LOS ANGELES,237,GENESIS HEALTHCARE
"DEVONSHIRE CARE CENTER, LLC","DEVONSHIRE CARE CENTER, LLC",056095,DEVONSHIRE CARE CENTER,CA,HEMET,237,GENESIS HEALTHCARE
"THE EARLWOOD, LLC","THE EARLWOOD, LLC",055032,THE EARLWOOD,CA,TORRANCE,237,GENESIS HEALTHCARE
"PNP, INC.","PNP, INC.",365987,CALCUTTA HEALTH CARE CENTER,OH,CALCUTTA,,
162 SOUTH BRITAIN ROAD OPERATING COMPANY II LLC,162 SOUTH BRITAIN ROAD OPERATING COMPANY II LLC,075241,RIVER GLEN HEALTH CARE CENTER,CT,SOUTHBURY,109,CAREONE
MARIAN HOME,MARIAN HOME,165539,Marian Home,IA,Fort Dodge,,
"ARTESIA HEALTHCARE, INC.","ARTESIA HEALTHCARE, INC.",555690,ALAMEDA CARE CENTER,CA,BURBANK,323,LONGWOOD MANAGEMENT CORPORATION
"RIDGEVIEW HEALTH SERVICES, INC.","RIDGEVIEW HEALTH SERVICES, INC.",015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,JASPER,,
"BRISTOL HEALTH CARE, INC.","BRISTOL HEALTH CARE, INC.",075329,INGRAHAM MANOR,CT,BRISTOL,,
VALLEY HOMES AND SERVICES,VALLEY HOMES AND SERVICES,355067,VALLEY SENIOR LIVING ON COLUMBIA,ND,GRAND FORKS,,
4000 VALLEY SQUARE INC,4000 VALLEY SQUARE INC,355112,WOODSIDE VILLAGE,ND,GRAND FORKS,,
JACTOM INC,JACTOM INC,345212,Bethesda Health Care Facility,NC,Eastover,,
ROSARY CARE CENTER,ROSARY CARE CENTER,366279,ROSARY CARE CENTER,OH,SYLVANIA,,
PLEASANT VIEW HOME,PLEASANT VIEW HOME,175406,PLEASANT VIEW HOME,KS,INMAN,,
THE BISHOP SPENCER PLACE INC,THE BISHOP SPENCER PLACE INC,265768,"BISHOP SPENCER PLACE, INC, THE",MO,KANSAS CITY,,
PRESBYTERIAN MANORS INC,PRESBYTERIAN MANORS INC,175297,TOPEKA PRESBYTERIAN MANOR,KS,TOPEKA,413,PRESBYTERIAN MANORS OF MID-AMERICA
PRATTVILLE HEALTH AND REHABILITATION LLC,PRATTVILLE HEALTH AND REHABILITATION LLC,015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,PRATTVILLE,372,NHS MANAGEMENT
PEAK MEDICAL NEW MEXICO NO 3 LLC,PEAK MEDICAL NEW MEXICO NO 3 LLC,325033,Rio Rancho Center,NM,Rio Rancho,237,GENESIS HEALTHCARE
PEAK MEDICAL LAS CRUCES LLC,PEAK MEDICAL LAS CRUCES LLC,325108,Casa Del Sol Center,NM,Las Cruces,237,GENESIS HEALTHCARE
PRAIRIE MISSION RETIREMENT VILLAGE,PRAIRIE MISSION RETIREMENT VILLAGE,175468,PRAIRIE MISSION RETIREMENT VILLAGE,KS,SAINT PAUL,,
PEAK MEDICAL LAS CRUCES NO 2 LLC,PEAK MEDICAL LAS CRUCES NO 2 LLC,325047,Casa De Oro Center,NM,Las Cruces,237,GENESIS HEALTHCARE
BROSIS MANAGEMENT OF CATAWBA COUNTY,BROSIS MANAGEMENT OF CATAWBA COUNTY,345516,Conover Nursing And Rehabilitation Center,NC,Conover,,
PEAK MEDICAL ROSWELL LLC,PEAK MEDICAL ROSWELL LLC,325044,Mission Arch Operator LLC,NM,Roswell,237,GENESIS HEALTHCARE
"WOODVILLE II ENTERPRISES, LLC","WOODVILLE II ENTERPRISES, LLC",675152,Dogwood Trails Manor,TX,Woodville,169,CREATIVE SOLUTIONS IN HEALTHCARE
CONGREGATIONAL HOME,CONGREGATIONAL HOME,175044,BREWSTER HEALTH CENTER,KS,TOPEKA,,
"SOVEREIGN HEALTHCARE OF MEDICANA, LLC","SOVEREIGN HEALTHCARE OF MEDICANA, LLC",105259,MEDICANA NURSING AND REHAB CENTER,FL,LAKE WORTH,482,SOVEREIGN HEALTHCARE HOLDINGS
"HERITAGE CARE, LLC","HERITAGE CARE, LLC",056308,HERITAGE REHABILITATION CENTER,CA,TORRANCE,136,CHARIS TRUST DTD 12/22/16
SOVEREIGN HEALTHCARE OF METRO WEST LLC,SOVEREIGN HEALTHCARE OF METRO WEST LLC,105868,METRO WEST NURSING AND REHAB CENTER,FL,ORLANDO,482,SOVEREIGN HEALTHCARE HOLDINGS
"SOVEREIGN HEALTHCARE OF ORANGE CITY, LLC","SOVEREIGN HEALTHCARE OF ORANGE CITY, LLC",105735,ORANGE CITY NURSING AND REHAB CENTER,FL,DEBARY,482,SOVEREIGN HEALTHCARE HOLDINGS
SOVEREIGN HEALTHCARE OF PALM CITY LLC,SOVEREIGN HEALTHCARE OF PALM CITY LLC,105831,PALM CITY NURSING & REHAB CENTER,FL,PALM CITY,482,SOVEREIGN HEALTHCARE HOLDINGS
"SOVEREIGN HEALTHCARE OF PALMETTO, LLC","SOVEREIGN HEALTHCARE OF PALMETTO, LLC",105603,RIVIERA PALMS REHABILITATION CENTER,FL,PALMETTO,482,SOVEREIGN HEALTHCARE HOLDINGS
SOVEREIGN HEALTHCARE OF PORT ORANGE LLC,SOVEREIGN HEALTHCARE OF PORT ORANGE LLC,105776,PORT ORANGE NURSING AND REHAB CENTER,FL,PORT ORANGE,482,SOVEREIGN HEALTHCARE HOLDINGS
SOVEREIGN HEALTHCARE OF TITUSVILLE LLC,SOVEREIGN HEALTHCARE OF TITUSVILLE LLC,105793,ROYAL OAKS NURSING AND REHAB CENTER,FL,TITUSVILLE,482,SOVEREIGN HEALTHCARE HOLDINGS
"SOVEREIGN HEALTHCARE OF PORT ST. LUCIE, LLC","SOVEREIGN HEALTHCARE OF PORT ST. LUCIE, LLC",105819,TIFFANY HALL NURSING AND REHAB CENTER,FL,PORT SAINT LUCIE,482,SOVEREIGN HEALTHCARE HOLDINGS
"SOVEREIGN HEALTHCARE OF TUSKAWILLA, LLC","SOVEREIGN HEALTHCARE OF TUSKAWILLA, LLC",105872,TUSKAWILLA NURSING AND REHAB CENTER,FL,WINTER SPRINGS,482,SOVEREIGN HEALTHCARE HOLDINGS
"VISTA WOODS HEALTH ASSOCIATES, LLC","VISTA WOODS HEALTH ASSOCIATES, LLC",555425,VISTA KNOLL SPECIALIZED CARE FACILITY,CA,VISTA,507,THE ENSIGN GROUP
CLAREMONT FOOTHILLS HEALTH ASSOCIATES LLC,CLAREMONT FOOTHILLS HEALTH ASSOCIATES LLC,055394,CLAREMONT CARE CENTER,CA,POMONA,507,THE ENSIGN GROUP
CITY HEIGHTS HEALTH ASSOCIATES LLC,CITY HEIGHTS HEALTH ASSOCIATES LLC,055505,ARROYO VISTA NURSING CENTER,CA,SAN DIEGO,507,THE ENSIGN GROUP
ROSS MANOR ASSOCIATES,ROSS MANOR ASSOCIATES,205064,ROSS MANOR,ME,BANGOR,221,FIRST ATLANTIC HEALTHCARE
DEXTER MANOR ASSOCIATES,DEXTER MANOR ASSOCIATES,205115,Dexter Health Care,ME,Dexter,221,FIRST ATLANTIC HEALTHCARE
"CEDARS, INC.","CEDARS, INC.",175380,THE CEDARS,KS,MCPHERSON,,
FRANKLIN COUNTY MEDICAL CENTER,FRANKLIN COUNTY MEDICAL CENTER,135059,FRANKLIN COUNTY TRANSITIONAL CARE,ID,PRESTON,,
MEDICALODGES INC,MEDICALODGES INC,175008,MEDICALODGES WICHITA,KS,WICHITA,344,"MEDICALODGES, INC."
"SOVEREIGN HEALTHCARE OF MACCLENNY, LLC","SOVEREIGN HEALTHCARE OF MACCLENNY, LLC",105737,MACCLENNY NURSING AND REHAB CENTER,FL,MACCLENNY,482,SOVEREIGN HEALTHCARE HOLDINGS
LAREDO TEXAS HOSPITAL COMPANY LP,LAREDO TEXAS HOSPITAL COMPANY LP,675268,LAREDO MEDICAL CENTER,TX,LAREDO,,
"SOVEREIGN HEALTHCARE OF JACKSONVILLE, LLC","SOVEREIGN HEALTHCARE OF JACKSONVILLE, LLC",105710,JACKSONVILLE NURSING AND REHAB CENTER,FL,JACKSONVILLE,482,SOVEREIGN HEALTHCARE HOLDINGS
THE BEATITUDES CAMPUS,THE BEATITUDES CAMPUS,035176,BEATITUDES CAMPUS,AZ,PHOENIX,,
PASSAVANT RETIREMENT AND HEALTH CENTER,PASSAVANT RETIREMENT AND HEALTH CENTER,395001,PASSAVANT RETIREMENT AND HEALT,PA,ZELIENOPLE,,
SOVEREIGN HEALTHCARE OF PINELLAS POINT LLC,SOVEREIGN HEALTHCARE OF PINELLAS POINT LLC,105878,PINELLAS POINT NURSING AND REHAB CENTER,FL,SAINT PETERSBURG,482,SOVEREIGN HEALTHCARE HOLDINGS
"JEWISH HOME AND CARE CENTER, INC","JEWISH HOME AND CARE CENTER, INC",525172,JEWISH HOME AND CARE CENTER,WI,MILWAUKEE,,
SOVEREIGN HEALTHCARE OF ORLANDO LLC,SOVEREIGN HEALTHCARE OF ORLANDO LLC,105987,HUNTERS CREEK NURSING AND REHAB CENTER,FL,ORLANDO,482,SOVEREIGN HEALTHCARE HOLDINGS
SOVEREIGN HEALTHCARE OF BOYNTON BEACH LLC,SOVEREIGN HEALTHCARE OF BOYNTON BEACH LLC,105837,BOYNTON BEACH REHABILITATION CENTER,FL,BOYNTON BEACH,482,SOVEREIGN HEALTHCARE HOLDINGS
SOVEREIGN HEALTHCARE OF WEST PALM BEACH LLC,SOVEREIGN HEALTHCARE OF WEST PALM BEACH LLC,105067,BOULEVARD REHABILITATION CENTER,FL,BOYNTON BEACH,482,SOVEREIGN HEALTHCARE HOLDINGS
SOVEREIGN HEALTHCARE OF BONIFAY LLC,SOVEREIGN HEALTHCARE OF BONIFAY LLC,105624,BONIFAY NURSING AND REHAB CENTER,FL,BONIFAY,482,SOVEREIGN HEALTHCARE HOLDINGS
SOVEREIGN HEALTHCARE OF ATLANTIC SHORES LLC,SOVEREIGN HEALTHCARE OF ATLANTIC SHORES LLC,105904,ATLANTIC SHORES NURSING AND REHAB CENTER,FL,MELBOURNE,482,SOVEREIGN HEALTHCARE HOLDINGS
N & R SHAWNEE LLC,N & R SHAWNEE LLC,375432,SHAWNEE COLONIAL ESTATES NURSING HOME,OK,SHAWNEE,,
LINCOLNHEALTH COVES EDGE,LINCOLNHEALTH COVES EDGE,205067,COVE'S EDGE INC,ME,DAMARISCOTTA,,
"BENEDICTINE LIVING COMMUNITIES, INC.","BENEDICTINE LIVING COMMUNITIES, INC.",355033,ST CATHERINES LIVING CENTER,ND,WAHPETON,75,BENEDICTINE HEALTH SYSTEM
CASAVINA FOUNDATION CORP,CASAVINA FOUNDATION CORP,555487,MISSION DE LA CASA,CA,SAN JOSE,,
WILLOW PASS HEALTH CARE CENTER INC,WILLOW PASS HEALTH CARE CENTER INC,055241,WILLOW PASS HEALTHCARE CENTER,CA,CONCORD,,
SAN LEANDRO HEALTH CARE CENTER INC,SAN LEANDRO HEALTH CARE CENTER INC,056345,SAN LEANDRO HEALTHCARE CENTER,CA,SAN LEANDRO,,
FARMINGTON HEALTH SERVICES,FARMINGTON HEALTH SERVICES,245250,Trinity Care Center,MN,FARMINGTON,487,ST. FRANCIS HEALTH SERVICES
LEE COUNTY MEDICAL INVESTORS,LEE COUNTY MEDICAL INVESTORS,106057,LIFE CARE CENTER OF ESTERO,FL,ESTERO,311,LIFE CARE CENTERS OF AMERICA
"LAUREL HEALTH CARE COMPANY OF NORTH CAROLINA, INC.","LAUREL HEALTH CARE COMPANY OF NORTH CAROLINA, INC.",345322,The Laurels of Hendersonville,NC,Hendersonville,144,CIENA HEALTHCARE/LAUREL HEALTH CARE
EMPIRE SPANISH MEADOWS LTD,EMPIRE SPANISH MEADOWS LTD,455802,SPANISH MEADOWS,TX,BROWNSVILLE,,
MONTEBELLO CARE CENTER LLC,MONTEBELLO CARE CENTER LLC,055153,MONTEBELLO CARE CENTER,CA,MONTEBELLO,237,GENESIS HEALTHCARE
ASHTON MEMORIAL INC,ASHTON MEMORIAL INC,135097,ASHTON MEMORIAL  LIVING CENTER,ID,ASHTON,,
SOVEREIGN HEALTHCARE OF ST AUGUSTINE LLC,SOVEREIGN HEALTHCARE OF ST AUGUSTINE LLC,105548,MOULTRIE CREEK NURSING AND REHAB CENTER,FL,SAINT AUGUSTINE,482,SOVEREIGN HEALTHCARE HOLDINGS
AVALON CARE CENTER-PASCO LLC,AVALON CARE CENTER-PASCO LLC,505126,AVALON HEALTH & REHABILITATION CENTER - PASCO,WA,PASCO,57,AVALON HEALTH CARE
"AVALON CARE CENTER - SPOKANE, LLC","AVALON CARE CENTER - SPOKANE, LLC",505496,AVALON CARE CENTER AT NORTHPOINTE,WA,SPOKANE,57,AVALON HEALTH CARE
"AVALON CARE CENTER - ABERDEEN, LLC","AVALON CARE CENTER - ABERDEEN, LLC",505016,GRAYS HARBOR HEALTH & REHABILITATION CENTER,WA,ABERDEEN,57,AVALON HEALTH CARE
"AVALON CARE CENTER - FEDERAL WAY, LLC","AVALON CARE CENTER - FEDERAL WAY, LLC",505510,AVALON CARE CENTER -  FEDERAL WAY,WA,FEDERAL WAY,57,AVALON HEALTH CARE
"AVALON CARE CENTER - HONOLULU, LLC","AVALON CARE CENTER - HONOLULU, LLC",125020,"AVALON CARE CENTER - HONOLULU, LLC",HI,HONOLULU,57,AVALON HEALTH CARE
AVALON CARE CENTER-NEWMAN LLC,AVALON CARE CENTER-NEWMAN LLC,055839,SAN LUIS CARE CENTER,CA,NEWMAN,57,AVALON HEALTH CARE
"AVALON CARE CENTER-MERCED FRANCISCAN, LLC","AVALON CARE CENTER-MERCED FRANCISCAN, LLC",055979,FRANCISCAN POST-ACUTE CARE CENTER,CA,MERCED,57,AVALON HEALTH CARE
EPISCOPAL CHURCH HOME OF MINNESOTA,EPISCOPAL CHURCH HOME OF MINNESOTA,245452,Episcopal Church Home of Minnesota,MN,SAINT PAUL,,
"MIDLANDS LIVING CENTER, L.L.P.","MIDLANDS LIVING CENTER, L.L.P.",165447,Midlands Living Center L L C,IA,Council Bluffs,,
EMMET COUNTY MEDICAL CARE FACILITY,EMMET COUNTY MEDICAL CARE FACILITY,235033,Bay Bluffs-Emmet County Medical Care Facility,MI,Harbor Springs,,
ALEXANDRIA CARE CENTER LLC,ALEXANDRIA CARE CENTER LLC,056113,ALEXANDRIA CARE CENTER,CA,LOS ANGELES,237,GENESIS HEALTHCARE
KMJ ENTERPRISES FIANNA HILLS LLC,KMJ ENTERPRISES FIANNA HILLS LLC,045354,FIANNA HILLS NURSING AND REHABILITATION CENTER,AR,FORT SMITH,,
HW WEIDCO REN LLC,HW WEIDCO REN LLC,315061,SOUTH JERSEY EXTENDED CARE,NJ,BRIDGETON,,
SKY VIEW REHABILITATION HEALTH CARE,SKY VIEW REHABILITATION HEALTH CARE,335508,SKY VIEW REHABILITATION & HEALTH CARE CENTER L L C,NY,CROTON ON HUDSON,,
"MARTIN HEALTH CENTER, INC.","MARTIN HEALTH CENTER, INC.",165508,"Martin Health Center, INC",IA,Cedar Falls,,
ROCHESTER FRIENDLY HOME,ROCHESTER FRIENDLY HOME,335476,The Friendly Home,NY,Rochester,,
"PALM BAY MEDICAL INVESTORS, LLC","PALM BAY MEDICAL INVESTORS, LLC",106060,LIFE CARE CENTER OF PALM BAY,FL,PALM BAY,311,LIFE CARE CENTERS OF AMERICA
"PARKVIEW MANOR, INC.","PARKVIEW MANOR, INC.",165522,Parkview Manor Care Center,IA,REINBECK,,
ROLLING HILLS OPERATIONS LLC,ROLLING HILLS OPERATIONS LLC,315302,ROLLING HILLS CARE CENTER,NJ,LEBANON,381,OCEAN HEALTHCARE
"CARILLON, INC.","CARILLON, INC.",675997,CARILLON INC,TX,LUBBOCK,,
HOLIDAY RESORT OF SALINA OPERATIONS LLC,HOLIDAY RESORT OF SALINA OPERATIONS LLC,175423,HOLIDAY RESORT OF SALINA,KS,SALINA,350,MIDWEST HEALTH
BROOKHAVEN HEALTH CARE FACILITY LLC,BROOKHAVEN HEALTH CARE FACILITY LLC,335694,BROOKHAVEN HEALTH CARE FACILITY L L C,NY,EAST PATCHOGUE,510,THE MCGUIRE GROUP
"BT2, INC.","BT2, INC.",345400,Skyland Care Center,NC,Sylva,,
STONEYBROOK NURSING FACILITY OPERATIONS LLC,STONEYBROOK NURSING FACILITY OPERATIONS LLC,175191,STONEYBROOK RETIREMENT COMMUNITY,KS,MANHATTAN,350,MIDWEST HEALTH
WHITE PLAINS NURSING HOME INC,WHITE PLAINS NURSING HOME INC,335358,BRONX PARK REHABILITATION & NURSING CENTER,NY,BRONX,,
METAIRIE OPERATIONS LLC,METAIRIE OPERATIONS LLC,195278,Metairie Health Care Center,LA,METAIRIE,286,INSPIRED HEALTHCARE MANAGEMENT
"PIONEER RIDGE NURSING FACILITY OPERATIONS, LLC","PIONEER RIDGE NURSING FACILITY OPERATIONS, LLC",175445,PIONEER RIDGE RETIREMENT COMMUNITY,KS,LAWRENCE,350,MIDWEST HEALTH
"FOUNTAIN VIEW SUBACUTE & NURSING CENTER, LLC","FOUNTAIN VIEW SUBACUTE & NURSING CENTER, LLC",055111,FOUNTAIN VIEW SUBACUTE AND NURSING CENTER,CA,LOS ANGELES,237,GENESIS HEALTHCARE
WALDON OPERATIONS LLC,WALDON OPERATIONS LLC,195203,WALDON HEALTH CARE CENTER,LA,KENNER,286,INSPIRED HEALTHCARE MANAGEMENT
BRIER OAK ON SUNSET LLC,BRIER OAK ON SUNSET LLC,056056,BRIER OAK ON SUNSET,CA,LOS ANGELES,237,GENESIS HEALTHCARE
RIO HONDO SUBACUTE & NURSING CENTER LLC,RIO HONDO SUBACUTE & NURSING CENTER LLC,056487,RIO HONDO SUBACUTE &  NURSING CENTER,CA,MONTEBELLO,237,GENESIS HEALTHCARE
"ROLLING HILLS HEALTH CENTER OPERATIONS, LLC","ROLLING HILLS HEALTH CENTER OPERATIONS, LLC",175165,ROLLING HILLS HEALTH CENTER,KS,TOPEKA,350,MIDWEST HEALTH
CALHOUN COUNTY MEDICAL CARE FACILITY,CALHOUN COUNTY MEDICAL CARE FACILITY,235237,Calhoun County Medical Care Facility,MI,Battle Creek,,
THE KING'S DAUGHTERS AND SONS HOME,THE KING'S DAUGHTERS AND SONS HOME,445221,THE KINGS DAUGHTERS AND SONS,TN,BARTLETT,,
"HALSTEAD HEALTH & REHAB CENTER OPERATIONS, LLC","HALSTEAD HEALTH & REHAB CENTER OPERATIONS, LLC",175446,HALSTEAD HEALTH AND REHABILITATION CENTER,KS,HALSTEAD,350,MIDWEST HEALTH
LEXINGTON PARK NURSING OPERATIONS LLC,LEXINGTON PARK NURSING OPERATIONS LLC,175154,LEXINGTON PARK NURSING & POST ACUTE CENTER,KS,TOPEKA,350,MIDWEST HEALTH
"MEDICAL SERVICES, INC","MEDICAL SERVICES, INC",525632,WATER'S EDGE,WI,HAYWARD,,
"ST. THERESE CONVALESCENT HOSPITAL ,INC.","ST. THERESE CONVALESCENT HOSPITAL ,INC.",555813,DEVONSHIRE OAKS NURSING CENTER,CA,REDWOOD CITY,,
5648 EAST GOTHAM STREET LLC,5648 EAST GOTHAM STREET LLC,056220,BRIARCREST NURSING CENTER,CA,BELL GARDENS,98,CAMBRIDGE HEALTHCARE SERVICES
CARING CORPORATION INC,CARING CORPORATION INC,015213,TROY HEALTH & REHABILITATION CENTER,AL,TROY,,
"BROOKDALE LIVING COMMUNITIES OF ILLINOIS - DNC, LLC","BROOKDALE LIVING COMMUNITIES OF ILLINOIS - DNC, LLC",146061,BROOKDALE PLAZA LISLE SNF,IL,LISLE,93,BROOKDALE SENIOR LIVING
